trial_nr,Participant Public ID,Participant Private ID,t_response,choice,rt,gain,loss,score tally
128,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,322,0,1,109
129,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,288,0,0,109
130,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,354,0,1,108
131,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,254,0,0,108
132,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,290,1,0,109
133,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,83,1,0,110
134,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,229,0,0,110
135,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,54,1,0,111
136,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,145,1,0,112
137,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,290,0,1,111
138,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,302,1,0,112
139,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,298,1,1,112
140,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,223,0,1,111
141,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,211,1,0,112
142,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,183,0,1,111
143,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,103,1,0,112
144,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,333,0,1,111
145,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,114,1,1,111
146,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,251,1,0,112
147,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,170,1,0,113
148,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,13,1,1,113
149,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,197,1,0,114
150,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,237,0,0,114
151,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,507,1,1,114
152,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,232,1,0,115
153,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,239,1,0,116
154,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,386,0,0,116
155,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,263,1,0,117
156,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,268,0,0,117
157,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,207,0,0,117
158,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,326,0,0,117
159,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,516,1,1,117
160,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,620,0,0,117
161,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,317,1,1,117
162,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,283,1,0,118
163,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,371,0,1,117
164,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,367,1,1,117
165,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,360,1,1,117
166,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,321,0,1,116
167,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,245,1,1,116
168,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,255,1,0,117
169,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,218,0,0,117
170,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,207,1,0,118
171,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,247,0,0,118
172,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,377,0,0,118
173,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,336,1,0,119
174,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,237,0,0,119
175,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,241,0,0,119
176,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,279,1,1,119
177,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,282,0,1,118
178,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,172,0,0,118
179,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,182,1,1,118
180,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,262,1,0,119
181,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,298,0,1,118
182,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,228,1,0,119
183,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,248,1,0,120
184,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,272,1,0,121
185,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,371,0,0,121
186,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,299,1,1,121
187,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,38,1,0,122
188,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,276,1,0,123
189,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,196,0,0,123
190,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,280,1,0,124
191,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,168,1,0,125
192,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,213,1,0,126
193,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,278,1,0,127
194,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,254,1,0,128
195,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,469,1,0,129
196,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,379,1,1,129
197,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,250,1,1,129
198,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,289,1,0,130
199,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,301,0,0,130
200,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,415,0,0,130
1,60ad5e41e09138d7c9827f4e,8938788,,,,,,100
2,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,664,0,0,100
3,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,576,1,0,101
4,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,413,0,1,100
5,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,242,0,1,99
6,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,209,0,0,99
7,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,538,0,0,99
8,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,412,1,1,99
9,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,704,1,0,100
10,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,340,0,0,100
11,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,497,0,0,100
12,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,327,0,0,100
13,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,365,1,0,101
14,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,634,0,0,101
15,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,592,1,0,102
16,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,384,0,1,101
17,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,439,0,0,101
18,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,358,0,0,101
19,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,334,1,1,101
20,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,411,1,1,101
21,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,440,0,0,101
22,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,532,0,0,101
23,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,705,0,0,101
24,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,304,0,1,100
25,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,1,1,0,101
26,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,1318,0,0,101
27,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,465,0,0,101
28,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,386,0,0,101
29,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,577,0,0,101
30,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,301,1,0,102
31,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,498,0,1,101
32,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,372,0,0,101
33,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,962,0,1,100
34,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,403,1,1,100
35,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,472,0,0,100
36,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,700,0,0,100
37,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,421,0,1,99
38,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,328,0,0,99
39,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,846,1,0,100
40,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,685,1,1,100
41,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,379,1,0,101
42,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,527,0,0,101
43,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,266,0,1,100
44,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,267,1,0,101
45,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,284,1,0,102
46,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,659,1,1,102
47,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,793,1,0,103
48,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,457,0,1,102
49,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,474,0,0,102
50,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,386,1,1,102
51,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,297,1,0,103
52,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,255,1,1,103
53,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,384,0,0,103
54,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,305,0,0,103
55,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,280,0,0,103
56,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,269,1,0,104
57,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,393,1,0,105
58,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,386,1,1,105
59,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,453,0,1,104
60,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,250,0,0,104
61,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,408,1,0,105
62,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,329,0,1,104
63,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,278,0,0,104
64,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,414,1,0,105
65,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,358,1,0,106
66,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,437,1,0,107
67,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,674,1,1,107
68,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,319,1,0,108
69,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,548,0,1,107
70,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,443,0,0,107
71,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,433,1,1,107
72,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,893,0,0,107
73,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,406,1,1,107
74,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,518,1,0,108
75,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,343,1,1,108
76,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,361,0,1,107
77,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,421,0,0,107
78,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,403,0,1,106
79,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,629,1,1,106
80,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,970,0,1,105
81,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,815,0,0,105
82,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,690,1,0,106
83,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,476,1,0,107
84,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,594,0,1,106
85,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,410,1,1,106
86,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,357,0,0,106
87,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,76,1,1,106
88,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,1450,0,1,105
89,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,803,0,1,104
90,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,634,1,1,104
91,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,491,1,1,104
92,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,538,0,1,103
93,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,467,1,0,104
94,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,310,1,1,104
95,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,701,1,1,104
96,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,569,1,0,105
97,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,664,0,1,104
98,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,641,1,1,104
99,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,512,0,1,103
100,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,763,0,1,102
101,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,457,0,1,101
102,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,1452,0,1,100
103,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,421,0,1,99
104,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,405,1,1,99
105,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,526,1,0,100
106,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,584,0,1,99
107,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,1007,0,1,98
108,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,487,0,1,97
109,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,541,1,1,97
110,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,477,0,1,96
111,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,420,0,0,96
112,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,531,1,1,96
113,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,592,0,0,96
114,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,350,1,1,96
115,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,563,0,0,96
116,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,545,1,0,97
117,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,545,0,1,96
118,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,486,1,1,96
119,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,481,1,0,97
120,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,264,1,1,97
121,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,434,1,1,97
122,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,292,1,0,98
123,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,358,1,0,99
124,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,558,1,0,100
125,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,502,1,1,100
126,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,620,1,1,100
127,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,321,0,1,99
128,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,1,754,0,1,98
129,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,387,1,0,99
130,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,490,1,1,99
131,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,627,1,0,100
132,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,506,1,0,101
133,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,492,1,1,101
134,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,2,945,1,1,101
135,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,1712,1,0,102
136,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,948,1,0,103
137,60ad5e41e09138d7c9827f4e,8938788,1.69E+12,0,647,1,0,104
