Participant.Public.ID,trial_nr,choice,rt,gain,loss,score.tally
5e85f278c880ee1edb7e96ee,1,0,916,0,1,99
5e85f278c880ee1edb7e96ee,2,1,365,1,0,100
5e85f278c880ee1edb7e96ee,3,1,385,0,0,100
5e85f278c880ee1edb7e96ee,4,2,277,0,1,99
5e85f278c880ee1edb7e96ee,5,1,313,1,0,100
5e85f278c880ee1edb7e96ee,6,1,338,1,0,101
5e85f278c880ee1edb7e96ee,7,1,467,1,0,102
5e85f278c880ee1edb7e96ee,8,1,364,0,0,102
5e85f278c880ee1edb7e96ee,9,1,525,0,0,102
5e85f278c880ee1edb7e96ee,10,0,307,1,1,102
5e85f278c880ee1edb7e96ee,11,1,518,1,1,102
5e85f278c880ee1edb7e96ee,12,0,293,1,0,103
5e85f278c880ee1edb7e96ee,13,0,240,0,1,102
5e85f278c880ee1edb7e96ee,14,0,348,1,0,103
5e85f278c880ee1edb7e96ee,15,1,369,1,0,104
5e85f278c880ee1edb7e96ee,16,1,305,1,1,104
5e85f278c880ee1edb7e96ee,17,1,681,0,0,104
5e85f278c880ee1edb7e96ee,18,0,562,0,1,103
5e85f278c880ee1edb7e96ee,19,1,378,1,0,104
5e85f278c880ee1edb7e96ee,20,1,373,1,0,105
5e85f278c880ee1edb7e96ee,21,1,277,1,0,106
5e85f278c880ee1edb7e96ee,22,1,426,0,0,106
5e85f278c880ee1edb7e96ee,23,1,309,0,0,106
5e85f278c880ee1edb7e96ee,24,1,359,1,0,107
5e85f278c880ee1edb7e96ee,25,1,444,0,0,107
5e85f278c880ee1edb7e96ee,26,1,472,0,0,107
5e85f278c880ee1edb7e96ee,27,2,211,0,1,106
5e85f278c880ee1edb7e96ee,28,1,307,0,1,105
5e85f278c880ee1edb7e96ee,29,0,434,0,0,105
5e85f278c880ee1edb7e96ee,30,1,393,0,0,105
5e85f278c880ee1edb7e96ee,31,0,298,0,0,105
5e85f278c880ee1edb7e96ee,32,0,271,0,0,105
5e85f278c880ee1edb7e96ee,33,1,421,0,1,104
5e85f278c880ee1edb7e96ee,34,2,242,1,1,104
5e85f278c880ee1edb7e96ee,35,2,244,0,1,103
5e85f278c880ee1edb7e96ee,36,0,204,0,1,102
5e85f278c880ee1edb7e96ee,37,1,305,0,0,102
5e85f278c880ee1edb7e96ee,38,1,173,1,1,102
5e85f278c880ee1edb7e96ee,39,1,341,0,1,101
5e85f278c880ee1edb7e96ee,40,0,405,0,0,101
5e85f278c880ee1edb7e96ee,41,0,365,0,1,100
5e85f278c880ee1edb7e96ee,42,1,514,1,0,101
5e85f278c880ee1edb7e96ee,43,1,321,0,0,101
5e85f278c880ee1edb7e96ee,44,1,446,0,1,100
5e85f278c880ee1edb7e96ee,45,1,424,0,1,99
5e85f278c880ee1edb7e96ee,46,0,278,0,0,99
5e85f278c880ee1edb7e96ee,47,0,264,1,1,99
5e85f278c880ee1edb7e96ee,48,0,347,0,1,98
5e85f278c880ee1edb7e96ee,49,2,717,1,0,99
